Actor1_Rev,Actor2_Rev,Year,YT_Count,YT_Likes,YT_Dislike,IMDBVotes,imdbRating,Budget,Revenue,Rated
84935,39767901,1997,91771,108,2,19038,7.3,10000000,13835130,2
57219513,0,2001,6276178,55348,4789,255418,6.3,98000000,435040395,3
220027943,41016147,2002,1098378,2007,86,327657,7.5,100000000,183124621,4
217742101,0,2011,836638,1566,149,40224,7.6,94000000,93721434,4
188565799,101324047,2007,1450345,4817,3646,55911,6.7,100000000,58867694,2
0,23121740,2004,350841,688,33,50922,5.2,90000000,96221971,3
45718,152579280,2001,496755,864,36,304698,7.7,92000000,159691085,4
33190637,18953270,2012,7107757,43851,6790,109508,6.2,95000000,104907746,4
55956848,152878928,1997,743727,887,125,358462,7.7,93000000,263900000,3
23392420,22278713,2000,775131,15,0,62625,6.9,95000000,65700000,2
29926250,0,2012,9364897,10586,1157,153142,6.6,95000000,879765137,2
144799396,0,2009,3215670,9891,237,129613,6.7,65000000,94894448,3
243416862,0,2003,1482497,4375,237,740498,8.1,94000000,936429370,1
202861432,0,2003,1825632,6018,112,1280900,8.9,94000000,1141403341,3
75383413,38145883,2002,2414488,7672,159,1158527,8.7,94000000,934699645,3
101324047,80311078,2014,9493655,18535,1217,58806,5.5,95000000,110623265,3
0,56198494,2001,1925861,3504,240,163313,5.7,115000000,273330185,3
104642616,0,2014,17759970,42522,1763,181369,6.3,100000000,103039258,3
7443792,18294194,2001,2020476,2954,204,229609,5.9,93000000,365900000,3
356876604,0,2011,9312869,28760,1344,418650,7.6,93000000,482860185,3
68830627,0,2008,1010245,1404,60,72229,6.6,90000000,162839667,2
55956848,137420415,2013,1400782,5000,163,171524,5.3,92000000,304249198,4
10621434,44397438,2004,247319,411,48,17274,6,107000000,23911362,3
90746064,0,2004,2229242,2426,271,503527,8,92000000,614726752,2
0,94832511,1995,302218,284,19,21902,5.6,98000000,18517322,3
41047862,14098714,2010,5707307,11148,773,147133,5.9,95000000,61198532,2
88956281,218238397,1997,1454840,2533,106,422007,7.3,90000000,587790539,3
106585059,100914781,2010,7164794,14850,1707,156212,6.8,100000000,169511609,3
146220442,0,2009,2953931,3563,352,161054,7,100000000,236827677,2
220027943,136623867,2006,916656,1505,69,923811,8.5,90000000,289660619,4
23929278,362607942,2008,1971927,3390,122,318209,7,92000000,191091250,4
372774112,0,2011,9366170,13282,794,344623,7.8,90000000,109421911,4
55956848,60054917,1995,679406,848,38,309890,7.6,90000000,366101666,4
362607942,56830970,2009,3190512,9923,309,496568,7.6,90000000,208711166,3
23360326,0,2001,1016852,1915,63,77307,6.8,120000000,186049020,2
18320504,17632805,2015,7849219,29246,6227,11078,5.1,90000000,235296080,2
183502020,22278713,2008,528045,1057,36,190821,7.1,75000000,203902107,3
68354637,84708677,2008,1516606,661,63,161288,5.5,90000000,100018837,3
68354637,85090007,2015,33016387,115677,15150,98910,5.6,88000000,244126300,3
117777459,49110192,2003,1261048,3036,232,33489,4.9,90000000,75759571,2
0,40419050,1997,5192843,18597,886,208129,7.4,90000000,165900000,2
0,10716632,2000,769288,493,59,105420,5.7,95000000,191200000,4
0,42930943,2005,110408,173,13,87851,6.4,80000000,162753837,3
41047862,0,2013,10895204,43929,2118,90322,5.9,90000000,200859554,2
0,82109392,2003,492733,575,57,106933,5.5,95000000,65700000,3
107530576,224670158,2016,19111735,87579,1883,148462,6.5,90000000,65030563,3
13903580,0,1997,181752,375,85,53405,6.2,68000000,169400000,3
64271764,85343206,2001,339247,284,19,124797,7.1,92000000,143049560,4
